CPU	 1	 0.23335
CPU	 5	 0.183325
CPU	 7	 0.083325
CPU	 3	 0.116675
CPU	 9	 0.116675
CPU	 13	 0.083325
CPU	 19	 0.26665
CPU	 11	 0.3
CPU	 15	 0.083325
CPU	 17	 0.133325
CPU	 21	 0.23335
CPU	 25	 0.1
CPU	 23	 0.13335
CPU	 27	 0.1
CPU	 29	 0.08335
CPU	 33	 0.083325
CPU	 31	 0.1
CPU	 37	 0.1
CPU	 35	 0.31665
CPU	 39	 0.1
CPU	 41	 0.1
CPU	 47	 0.1
CPU	 43	 0.1
CPU	 45	 0.116675
CPU	 49	 0.133325
IO	 12	 3.21665
IO	 4	 3.51665
IO	 0	 3.75
IO	 14	 3.21665
IO	 6	 3.31665
IO	 28	 2.21665
IO	 44	 1.45
IO	 2	 3.73332
IO	 22	 2.6
IO	 38	 1.93332
IO	 32	 2.03333
IO	 16	 2.93332
IO	 10	 3.23332
IO	 36	 1.93332
IO	 40	 1.83333
IO	 30	 2.13333
IO	 42	 1.51667
IO	 20	 2.66668
IO	 34	 1.95
IO	 26	 2.31668
IO	 46	 1.51667
IO	 24	 2.61667
IO	 18	 2.93332
IO	 8	 3.4
IO	 48	 1.31668
