CPU	 1	 0.183325
CPU	 5	 0.08335
CPU	 7	 0.1
CPU	 3	 0.116675
CPU	 9	 0.083325
CPU	 11	 0.083325
CPU	 13	 0.08335
CPU	 15	 0.26665
CPU	 17	 0.11665
CPU	 19	 0.08335
CPU	 21	 0.116675
CPU	 23	 0.133325
CPU	 27	 0.133325
CPU	 29	 0.2
CPU	 25	 0.166675
CPU	 35	 0.6
CPU	 33	 0.2
CPU	 31	 0.266675
CPU	 37	 0.183325
CPU	 39	 0.433325
CPU	 41	 0.233325
CPU	 47	 0.1
CPU	 43	 0.283325
CPU	 45	 0.15
CPU	 49	 0.1
IO	 12	 4.25
IO	 4	 4.58333
IO	 8	 4.43332
IO	 0	 4.7
IO	 30	 2.95
IO	 18	 3.83335
IO	 2	 4.71668
IO	 44	 1.71667
IO	 34	 2.96667
IO	 10	 4.26668
IO	 40	 2.36667
IO	 22	 3.61667
IO	 14	 4.1
IO	 42	 1.71667
IO	 20	 3.61667
IO	 6	 4.45
IO	 24	 3.48335
IO	 48	 1.43335
IO	 36	 2.9
IO	 38	 2.36667
IO	 16	 4.1
IO	 32	 2.96667
IO	 28	 3.16668
IO	 26	 3.31668
IO	 46	 1.43335
