CPU	 1	 0.083325
CPU	 3	 0.166675
CPU	 5	 0.08335
CPU	 7	 0.066675
CPU	 9	 0.15
CPU	 11	 0.083325
CPU	 13	 0.08335
CPU	 19	 0.216675
CPU	 21	 0.1
CPU	 15	 0.11665
CPU	 17	 0.183325
CPU	 23	 0.1
CPU	 29	 0.083325
CPU	 25	 0.1
CPU	 31	 0.1
CPU	 27	 0.1
CPU	 33	 0.1
CPU	 41	 0.1
CPU	 43	 0.1
CPU	 35	 0.1
CPU	 37	 0.133325
CPU	 39	 0.2
CPU	 47	 0.1
CPU	 49	 0.2
CPU	 51	 0.1
CPU	 53	 0.15
CPU	 57	 0.1
CPU	 45	 0.31665
CPU	 55	 0.25
CPU	 59	 0.2
CPU	 63	 0.1
CPU	 61	 0.083325
CPU	 65	 0.08335
CPU	 69	 0.2
CPU	 71	 0.1
CPU	 67	 0.083325
CPU	 75	 0.1
CPU	 77	 0.083325
CPU	 73	 0.15
CPU	 79	 0.1
CPU	 87	 0.13335
CPU	 83	 0.11665
CPU	 81	 0.15
CPU	 85	 0.08335
CPU	 95	 0.11665
CPU	 89	 0.18335
CPU	 91	 0.216675
CPU	 97	 0.1
CPU	 99	 0.1
CPU	 93	 0.08335
IO	 46	 81321.7
IO	 12	 81337.9
IO	 26	 81337.6
IO	 96	 81340.2
IO	 44	 81347.1
IO	 94	 81346.2
IO	 80	 81348.7
IO	 42	 81352.9
IO	 86	 81349.9
IO	 0	 81356.2
IO	 60	 81352.8
IO	 16	 81356
IO	 90	 81352.2
IO	 10	 81359.4
IO	 14	 81359.7
IO	 78	 81355.4
IO	 24	 81360
IO	 48	 81359.2
IO	 8	 81362.1
IO	 40	 81360.1
IO	 28	 81362.3
IO	 64	 81359.9
IO	 72	 81359.4
IO	 74	 81360.4
IO	 32	 81364.1
IO	 62	 81361.8
IO	 88	 81360.5
IO	 56	 81363.5
IO	 54	 81364.5
IO	 2	 81368.6
IO	 6	 81368.4
IO	 84	 81363.4
IO	 22	 81368.3
IO	 34	 81367.8
IO	 36	 81367.8
IO	 98	 81363.4
IO	 50	 81368.5
IO	 76	 81366.2
IO	 58	 81368.1
IO	 70	 81367.5
IO	 66	 81367.9
IO	 4	 81372.3
IO	 20	 81371.5
IO	 18	 81372.1
IO	 82	 81367
IO	 30	 81372
IO	 92	 81366.8
IO	 38	 81371.7
IO	 68	 81369.4
IO	 52	 81370.8
